train_loss,val_loss,train_acc,val_acc
0.17664589986882426,0.12235077409863923,0.929373341498265,0.9514285714285714
0.07320650166819816,0.026885704109162994,0.9726474790773627,0.9923809523809524
0.05470690561772941,0.042924602261998436,0.980608287405593,0.9885714285714285
0.05607563172551719,0.01622628554645361,0.9844866299244743,0.9952380952380953
0.05920498218242224,0.01156847900711,0.9781588079199837,0.9971428571428571
0.030182254464401828,0.01452163111587817,0.9883649724433557,0.9961904761904762
0.022579301221223622,0.012086922393681369,0.9918350683813023,0.9942857142857143
0.019495916710077943,0.013795393338968455,0.993059808124107,0.9961904761904762
0.018100168289882795,0.009492107265748817,0.9942845478669116,0.9980952380952381
0.016047620008905212,0.018117661658448702,0.9932639314145744,0.9961904761904762
0.012268398529619383,0.006699244294202689,0.9965299040620534,0.9971428571428571
0.01368823376568881,0.010279040071922778,0.9979587670953256,0.9971428571428571
0.017752355569368834,0.011443928691953646,0.992651561543172,0.9961904761904762
0.014552210614859284,0.010942920425088343,0.9969381506429884,0.9971428571428571
0.013901041732199925,0.013526545685828862,0.9965299040620534,0.9971428571428571
0.01170052256580297,0.010721518356480043,0.9969381506429884,0.9971428571428571
0.013888257350046913,0.01830695570926323,0.9969381506429884,0.9952380952380953
0.008224978704344143,0.0154887052168223,0.9979587670953256,0.9971428571428571
0.005755583421166914,0.011483309099937535,0.9983670136762605,0.9971428571428571
0.004825151295630963,0.015338096802941325,0.998162890385793,0.9971428571428571
